Mach Number,CD
0.0,0.0
0.4737846,0.4640958
0.4689522,0.4640022
0.4641632,0.4639161
0.4594164,0.4638372
0.454711,0.4637653
0.4500461,0.4637001
0.4454208,0.4636416
0.4408342,0.4635894
0.4362854,0.4635434
0.4317737,0.4635035
0.4272982,0.4634693
0.4228582,0.4634409
0.4184529,0.4634181
0.4140816,0.4634006
0.4097435,0.4633885
0.4054381,0.4633815
0.4011645,0.4633796
0.3969222,0.4633825
0.3927105,0.4633904
0.3885288,0.4634029
0.3843764,0.4634201
0.3802527,0.4634418
0.3761573,0.463468
0.3720894,0.4634986
0.3680487,0.4635335
0.3640344,0.4635727
0.3600461,0.463616
0.3560833,0.4636634
0.3521455,0.4637149
0.3482321,0.4637704
0.3443427,0.4638298
0.3404769,0.4638932
0.3366341,0.4639604
0.332814,0.4640315
0.329016,0.4641063
0.3252398,0.4641849
0.3214848,0.4642672
0.3177508,0.4643532
0.3140374,0.4644428
0.310344,0.4645361
0.3066703,0.464633
0.3030161,0.4647335
0.2993807,0.4648376
0.295764,0.4649453
0.2921656,0.4650565
0.2885851,0.4651713
0.2850221,0.4652896
0.2814764,0.4654114
